levelname,minsolutionlength,solution,numberofmoves,maxnumcandidatesinmem,numvisitedstates,visitedstateimproved,visitedstatedropped
levels/P2L08,14,"(6,8)-BER-U/(4,8)-BER-L/(4,6)-BER-U/(3,6)-BER-R/(3,7)-BER-U/(1,7)-BER-L/(1,3)-BER-D/(2,3)-BER-L/(2,1)-BER-U/(6,1)-SQR-U/(2,1)-SQR-R/(2,3)-SQR-U/(1,3)-SQR-R/(1,7)-SQR-D/",220,7,35,0,184,
levels/P2L09,8,"(5,7)-SQR-L/(5,3)-SQR-U/(2,5)-BER-L/(2,3)-SQR-D/(2,4)-BER-D/(5,4)-BER-R/(5,3)-SQR-R/(5,6)-SQR-U/",129,8,26,0,102,
levels/P2L10,7,"(3,4)-SQR-L/(3,3)-SQR-D/(5,3)-SQR-L/(2,6)-WLF-D/(3,6)-WLF-L/(3,3)-WLF-D/(5,1)-SQR-R/",143,9,21,0,104,
levels/P2L11,9,"(2,1)-MSE-R/(2,4)-MSE-D/(3,4)-MSE-R/(3,6)-MSE-U/(5,6)-HOG-U/(3,6)-HOG-L/(3,1)-SQR-R/(3,6)-SQR-D/(6,6)-SQR-R/",1035,65,154,0,845,
levels/P2L12,11,"(5,5)-MSE-U/(2,5)-MSE-L/(4,1)-BER-U/(2,1)-MSE-R/(2,5)-MSE-D/(3,1)-BER-R/(3,5)-BER-D/(4,5)-BER-R/(4,8)-BER-D/(3,8)-SQR-D/(4,8)-SQR-L/",2190,101,292,0,1833,
levels/P2L13,9,"(2,4)-BER-D/(5,4)-BER-L/(2,3)-BER-D/(3,6)-WLF-D/(4,3)-BER-R/(4,6)-BER-D/(1,6)-SQR-D/(4,6)-SQR-L/(4,3)-SQR-U/",905,43,106,0,734,
levels/P2L14,11,"(4,6)-SQR-U/(2,6)-SQR-L/(4,3)-WLF-R/(2,3)-WLF-D/(4,3)-WLF-R/(4,6)-WLF-U/(4,5)-WLF-D/(2,5)-SQR-R/(2,6)-SQR-D/(4,6)-SQR-L/(4,3)-SQR-U/",809,21,93,0,617,
levels/P2L15,15,"(6,3)-SQR-L/(2,4)-WLF-R/(1,3)-BER-D/(2,5)-WLF-L/(4,3)-BER-R/(2,3)-WLF-D/(4,3)-WLF-L/(6,2)-SQR-U/(3,2)-SQR-R/(3,3)-SQR-U/(4,5)-BER-L/(4,2)-BER-U/(3,2)-BER-R/(1,3)-SQR-D/(2,3)-SQR-R/",1043,28,153,2,854,
levels/P2L16,7,"(4,5)-WLF-U/(3,5)-WLF-L/(4,4)-WLF-U/(3,1)-WLF-R/(3,3)-WLF-U/(1,3)-WLF-D/(1,6)-SQR-L/",522,13,45,0,380,
levels/P2L17,10,"(6,2)-SQR-U/(6,8)-BER-L/(6,2)-BER-U/(3,2)-BER-R/(3,6)-BER-R/(3,8)-BER-U/(2,2)-SQR-D/(6,2)-SQR-R/(6,8)-SQR-U/(3,8)-SQR-L/",758,15,81,0,674,
levels/P2L18,9,"(2,2)-WLF-U/(1,2)-WLF-R/(1,3)-WLF-D/(4,3)-WLF-R/(3,5)-BER-D/(5,5)-BER-R/(2,5)-SQR-D/(5,5)-SQR-R/(5,7)-SQR-U/",381,24,68,0,283,
levels/P2L19,8,"(2,4)-BER-L/(4,6)-SQR-D/(3,7)-WLF-L/(5,6)-SQR-U/(5,4)-HOG-U/(3,4)-WLF-U/(2,6)-SQR-L/(2,4)-SQR-D/",736,29,86,4,581,
levels/P2L20,13,"(4,5)-BER-U/(1,5)-BER-L/(1,3)-BER-D/(6,3)-BER-R/(6,2)-MSE-R/(6,3)-MSE-U/(1,3)-MSE-R/(1,5)-MSE-D/(2,4)-SQR-R/(4,5)-MSE-R/(2,5)-SQR-D/(4,5)-SQR-R/(4,7)-SQR-D/",4636,126,522,1,4113,
levels/P2L21,16,"(3,2)-SQR-U/(3,6)-WLF-L/(3,2)-WLF-D/(4,2)-WLF-R/(4,5)-WLF-U/(1,2)-SQR-D/(4,2)-SQR-R/(4,5)-SQR-D/(5,5)-SQR-L/(3,7)-WLF-L/(3,2)-WLF-U/(4,7)-WLF-U/(3,7)-WLF-L/(3,2)-WLF-U/(5,3)-SQR-U/(3,3)-SQR-R/",20787,244,1451,1,17345,
levels/P2L22,13,"(2,2)-WLF-U/(1,2)-WLF-R/(6,1)-SQR-U/(6,7)-MSE-L/(6,1)-MSE-U/(2,1)-MSE-R/(2,5)-MSE-U/(1,1)-SQR-R/(1,7)-WLF-L/(1,4)-SQR-D/(1,6)-WLF-L/(3,4)-SQR-U/(1,4)-SQR-R/",8171,211,933,64,6899,
levels/P2L23,21,"(2,3)-SQR-L/(2,1)-SQR-D/(2,6)-WLF-L/(2,8)-MSE-L/(2,6)-MSE-U/(1,6)-MSE-L/(1,5)-MSE-D/(2,1)-WLF-R/(6,1)-SQR-U/(4,5)-MSE-U/(1,5)-MSE-R/(1,6)-MSE-D/(2,1)-SQR-R/(2,5)-SQR-U/(2,6)-MSE-L/(1,5)-SQR-R/(1,6)-SQR-D/(2,1)-MSE-D/(2,6)-SQR-L/(2,1)-SQR-D/(5,1)-SQR-R/",1031,10,116,1,810,
levels/P2L24,10,"(5,7)-BER-U/(3,7)-BER-L/(3,1)-WLF-D/(6,1)-WLF-R/(6,6)-WLF-U/(3,3)-BER-R/(1,7)-SQR-L/(3,5)-BER-U/(1,1)-SQR-R/(1,4)-SQR-D/",688,15,75,0,612,
levels/P2L25,15,"(6,4)-SQR-U/(6,7)-WLF-L/(4,4)-SQR-D/(4,7)-WLF-L/(4,6)-WLF-U/(2,6)-WLF-L/(1,7)-MSE-D/(4,7)-MSE-L/(4,6)-MSE-D/(6,6)-MSE-R/(6,4)-SQR-R/(2,4)-WLF-R/(2,7)-WLF-U/(6,6)-SQR-U/(2,6)-SQR-L/",23658,231,1473,0,20286,
levels/P2L26,19,"(5,8)-WLF-U/(1,6)-MSE-D/(1,8)-WLF-L/(6,8)-WLF-U/(1,8)-WLF-L/(1,3)-WLF-D/(1,2)-WLF-R/(3,3)-WLF-U/(1,8)-WLF-L/(1,4)-WLF-D/(3,6)-MSE-L/(1,3)-WLF-R/(4,6)-SQR-U/(3,3)-MSE-U/(1,6)-SQR-L/(1,3)-MSE-D/(6,4)-WLF-U/(3,4)-WLF-R/(1,4)-SQR-D/",290852,2525,20065,1443,230418,
levels/P2L27,10,"(3,3)-BER-U/(1,3)-SQR-L/(1,1)-SQR-D/(2,3)-BER-L/(4,1)-SQR-U/(2,1)-BER-R/(3,1)-SQR-R/(2,4)-BER-D/(3,6)-SQR-L/(3,5)-SQR-D/",1036,39,147,2,888,
levels/P2L28,14,"(5,2)-SQR-L/(3,2)-BER-U/(1,2)-BER-R/(1,4)-BER-D/(2,1)-HOG-R/(2,4)-BER-U/(1,4)-BER-L/(1,2)-BER-D/(2,3)-HOG-U/(1,3)-HOG-L/(1,2)-HOG-D/(4,2)-HOG-R/(5,1)-SQR-U/(2,1)-SQR-R/",10411,160,812,48,8447,
levels/P2L29,16,"(3,4)-WLF-L/(4,5)-SQR-U/(3,3)-WLF-R/(3,5)-WLF-D/(2,6)-MSE-L/(2,4)-MSE-D/(3,4)-MSE-R/(1,5)-SQR-D/(3,5)-MSE-L/(2,5)-SQR-R/(3,2)-WLF-R/(3,5)-WLF-D/(2,6)-SQR-L/(2,4)-SQR-D/(3,4)-SQR-L/(3,2)-SQR-D/",4004,38,307,3,3278,
levels/P2L30,17,"(5,4)-SQR-U/(3,4)-SQR-R/(3,6)-SQR-U/(2,6)-SQR-L/(2,8)-BER-L/(2,5)-SQR-D/(5,5)-SQR-L/(5,4)-SQR-U/(2,6)-BER-D/(3,4)-SQR-R/(5,6)-BER-U/(4,6)-BER-L/(4,2)-BER-R/(4,6)-BER-D/(3,6)-SQR-D/(4,6)-SQR-L/(4,2)-SQR-U/",2181,55,251,0,1916,
levels/P2L31,20,"(2,6)-BER-R/(4,7)-SQR-D/(2,7)-BER-D/(5,7)-SQR-L/(4,7)-BER-L/(4,2)-BER-U/(3,2)-BER-R/(5,3)-SQR-U/(3,3)-BER-U/(1,3)-BER-L/(1,4)-HOG-L/(4,3)-SQR-R/(1,3)-HOG-D/(5,3)-HOG-R/(4,7)-SQR-L/(4,2)-SQR-U/(3,2)-SQR-R/(1,2)-BER-R/(3,3)-SQR-U/(1,3)-SQR-L/",2682,28,251,0,2220,
levels/P2L32,16,"(6,7)-WLF-U/(2,7)-WLF-L/(1,7)-WLF-D/(2,6)-WLF-R/(6,7)-WLF-U/(3,7)-WLF-L/(6,3)-SQR-U/(2,7)-WLF-U/(6,5)-MSE-R/(3,3)-SQR-R/(6,7)-MSE-U/(4,7)-MSE-L/(4,5)-MSE-U/(3,5)-MSE-L/(3,7)-SQR-L/(3,2)-SQR-U/",10341,112,876,0,9276,
levels/P2L33,12,"(4,8)-SQR-L/(1,8)-HOG-D/(5,8)-HOG-L/(6,8)-BER-U/(4,3)-SQR-D/(5,3)-SQR-R/(1,8)-BER-D/(4,8)-BER-L/(4,3)-BER-D/(5,8)-SQR-L/(5,4)-SQR-U/(2,4)-SQR-L/",7550,253,964,17,6104,
levels/P2L34,17,"(1,6)-MSE-D/(3,6)-MSE-L/(1,4)-BER-D/(3,4)-MSE-R/(3,7)-MSE-U/(2,7)-MSE-L/(2,5)-MSE-U/(1,2)-SQR-R/(1,5)-MSE-D/(3,5)-MSE-L/(5,5)-WLF-L/(3,4)-MSE-D/(5,2)-WLF-R/(5,4)-WLF-U/(2,4)-BER-D/(1,4)-SQR-D/(5,4)-SQR-L/",106130,1429,7476,224,97189,
levels/P2L35,23,"(3,1)-MSE-U/(1,1)-MSE-R/(1,3)-MSE-D/(2,3)-MSE-R/(2,8)-MSE-U/(1,6)-MSE-D/(1,8)-MSE-L/(6,6)-MSE-L/(1,5)-MSE-D/(5,5)-MSE-R/(6,5)-MSE-U/(5,7)-MSE-L/(1,5)-MSE-D/(5,5)-MSE-R/(4,8)-WLF-L/(4,7)-WLF-D/(4,5)-MSE-R/(4,4)-SQR-R/(4,7)-SQR-U/(1,7)-SQR-R/(1,8)-SQR-D/(2,8)-SQR-L/(2,1)-SQR-D/",5488,93,500,0,4408,
